,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space","Used Space"
02/02/2021 19:25:57,5.46875,1.5625,3.515625,48,48,48,2494.34253,2494.34253,3.21730256,1.1236403,0.0220348556,99.7737,29.27185,2.3071022,5.574539,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
02/02/2021 19:25:58,7.03125,8.59375,7.8125,48,48,49,2494.342,2494.342,3.68937945,1.45998013,0.06320273,99.77368,29.2797852,2.30772781,5.57391357,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
02/02/2021 19:25:59,10.15625,6.25,8.203125,48,48,48,2494.34253,2494.34253,3.97963643,1.78382552,0.005920602,99.7737,29.2828827,2.307972,5.57366943,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
02/02/2021 19:26:00,11.71875,3.125,7.421875,47,48,50,2494.3418,2494.3418,4.57648468,2.32774258,0.005859795,99.773674,29.6038742,2.333271,5.54837036,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
02/02/2021 19:26:01,46.875,6.25,26.5625,52,44,53,2494.34229,2494.34229,9.33933449,6.278582,0.00305184047,99.77369,33.2303238,2.61909485,5.26254654,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
02/02/2021 19:26:02,32.03125,45.3125,38.671875,48,50,51,2494.342,2494.342,10.0166931,6.8485527,0.005935904,99.77368,38.232296,3.01333237,4.868309,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
02/02/2021 19:26:03,39.84375,46.09375,42.96875,48,50,51,2494.342,2494.342,9.951406,7.006943,0.00292978343,99.77368,39.7583847,3.13361359,4.748028,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
02/02/2021 19:26:04,46.875,57.03125,51.953125,54,52,55,2494.34229,2494.34229,10.66164,7.67895174,0.004089492,99.77369,41.5379028,3.27386856,4.607773,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
02/02/2021 19:26:05,44.53125,35.9375,40.234375,53,47,55,2693.89,2494.34229,9.778494,6.83987331,0.00309763732,99.7737,43.02683,3.39122,4.4904213,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96616364,0.161125183
