,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
02/02/2021 00:45:46,10.9375,3.90625,7.421875,50,50,50,798.190247,798.190247,2.8424027,0.7252724,0.0184942186,99.77378,28.1846466,2.22141266,5.66022873,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,21,7.543762
02/02/2021 00:45:47,6.25,10.9375,8.59375,47,44,50,798.188965,798.188965,3.13770938,0.867028356,0.0216383226,99.77362,28.1884689,2.221714,5.65992737,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,21,7.543762
02/02/2021 00:45:48,25.78125,19.53125,22.65625,48,43,50,798.189331,798.189331,4.555181,1.96221519,0.0409096852,99.77367,28.18518,2.22145462,5.660187,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,21,7.543762
02/02/2021 00:45:49,10.9375,6.25,8.59375,49,43,50,798.189758,798.189758,3.18492961,0.977464139,0.00495919073,99.77372,28.19069,2.2218895,5.659752,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,21,7.543762
02/02/2021 00:45:50,9.375,7.8125,8.59375,49,43,50,798.189453,798.189453,2.83598924,0.690972269,0.0046388316,99.77368,28.2000351,2.22262573,5.65901566,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54379272
02/02/2021 00:45:51,5.46875,5.46875,5.46875,49,49,49,798.1895,798.1895,2.84108114,0.716789842,0.004654083,99.77369,28.2068634,2.2231636,5.658478,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54379272
02/02/2021 00:45:52,4.6875,4.6875,4.6875,49,49,50,798.189636,798.189636,2.87409687,0.7347071,0.005295104,99.7737045,28.2064743,2.223133,5.6585083,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54379272
02/02/2021 00:45:53,12.5,8.59375,10.546875,46,44,51,1795.926,2494.34155,3.0449264,0.83310765,0.00468466664,99.77367,28.214798,2.22378922,5.657852,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54379272
02/02/2021 00:45:54,21.875,32.8125,27.34375,49,51,52,2494.344,2494.344,9.306616,6.30597067,0.00386057748,99.77376,30.6952362,2.41928864,5.46235275,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54379272
02/02/2021 00:45:55,46.875,18.75,32.8125,55,48,57,2494.34229,2494.34229,9.819642,6.564465,0.00434892438,99.77369,36.72348,2.894413,4.98722839,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54379272
02/02/2021 00:45:56,39.0625,46.09375,42.578125,51,52,54,2494.342,2494.342,9.976126,6.997203,0.00465409,99.77368,38.10883,3.003601,4.87804031,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54379272
02/02/2021 00:45:57,48.4375,51.5625,50,57,49,58,2494.34229,2494.34229,10.2900753,7.29492855,0.00306710927,99.7737,40.11921,3.16205215,4.719589,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54379272
02/02/2021 00:45:58,45.3125,53.90625,49.609375,57,49,58,2494.34229,2494.34229,10.3352432,7.348426,0.00436417153,99.77369,41.6279259,3.280964,4.60067749,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.54379272
