,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
02/01/2021 21:55:30,10.15625,7.8125,8.984375,46,41,48,798.189758,798.189758,2.9495008,0.768825352,0.0240920689,99.77372,26.4992676,2.08857727,5.793064,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
02/01/2021 21:55:31,14.0625,7.03125,10.546875,45,42,48,798.1894,798.1894,3.30648875,0.9837295,0.02343848,99.773674,26.4975739,2.08844376,5.79319763,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
02/01/2021 21:55:32,19.53125,17.96875,18.75,47,44,51,1795.92725,2494.34326,4.50982,1.876598,0.05606431,99.773735,26.4893417,2.08779526,5.793846,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
02/01/2021 21:55:33,11.71875,12.5,12.109375,48,41,48,798.189148,798.189148,3.598412,1.22359467,0.05209318,99.77364,26.5633545,2.093628,5.78801346,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
02/01/2021 21:55:34,9.375,10.15625,9.765625,46,42,49,798.1893,798.1893,3.030565,0.7932347,0.00288410136,99.77366,26.5624771,2.09355927,5.788082,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
02/01/2021 21:55:35,23.4375,26.5625,25,49,46,49,798.1896,798.1896,6.50112152,3.42183328,0.219314843,99.7737,26.5250626,2.0906105,5.791031,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
02/01/2021 21:55:36,8.59375,11.71875,10.15625,45,43,50,798.1895,798.1895,4.204327,1.44743371,0.09414972,99.77369,26.5297089,2.09097672,5.79066467,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
02/01/2021 21:55:37,32.8125,31.25,32.03125,53,47,55,2494.34351,2494.34351,7.6738596,4.678589,0.0164654143,99.77374,28.90561,2.27823639,5.603405,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
02/01/2021 21:55:38,21.09375,28.90625,25,52,46,55,2494.34277,2494.34277,9.32215,6.40286875,0,99.77371,30.87616,2.433548,5.44809341,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
02/01/2021 21:55:39,31.25,26.5625,28.90625,54,46,56,2494.34155,2494.34155,9.411426,6.321252,0.0464645326,99.77367,32.1378937,2.53299332,5.348648,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
02/01/2021 21:55:40,8.59375,10.9375,9.765625,48,41,49,798.189148,798.189148,3.929892,1.2940135,0.2685714,99.77364,32.1608353,2.53480148,5.34684,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
02/01/2021 21:55:41,9.375,9.375,9.375,48,43,49,798.188965,798.188965,2.92982936,0.7490136,0.0118106287,99.77362,32.1852264,2.536724,5.3449173,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
02/01/2021 21:55:42,9.375,8.59375,8.984375,47,42,49,798.189941,798.189941,3.0056324,0.81354475,0,99.77374,32.1854172,2.53673935,5.344902,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
02/01/2021 21:55:43,25.78125,17.1875,21.484375,48,50,51,2494.34375,2494.34375,6.30746651,3.63824725,0.00703466125,99.77375,33.33937,2.62768936,5.253952,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
02/01/2021 21:55:44,23.4375,31.25,27.34375,53,48,54,2494.341,2494.341,9.455857,6.32731247,0,99.77364,38.6374474,3.0452652,4.836376,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51668549
