,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
02/01/2021 21:43:53,6.25,5.46875,5.859375,48,48,48,798.1896,798.1896,2.7265327,0.60751003,0.02793588,99.7737,26.618042,2.09793854,5.783703,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:43:54,4.6875,2.36855149,3.52802277,47,47,48,798.1893,798.1893,2.47315145,0.4652714,0.007950096,99.77366,26.60913,2.09723663,5.78440475,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:43:55,8.59375,6.8892,7.741475,48,48,49,798.189636,798.189636,3.04240084,0.8831324,0.0136875985,99.7737045,26.610199,2.09732056,5.784321,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:43:56,0,3.90625,1.953125,48,48,49,798.1893,798.1893,2.54244161,0.5435872,0.008352486,99.77366,26.6082153,2.09716415,5.784477,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:43:57,2.30768919,1.53846145,1.9230783,48,48,49,798.1897,798.1897,2.28204226,0.392557919,0.007961417,99.77371,26.6027451,2.096733,5.78490829,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:43:58,3.8461566,5.420673,4.63341475,48,48,49,798.189453,798.189453,2.63560271,0.578759849,0.009901164,99.77368,26.6009521,2.096592,5.78504944,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:43:59,2.3317337,2.30768919,2.31971741,48,48,49,798.189636,798.189636,2.30891037,0.3908933,0.00775265973,99.7737045,26.5732727,2.09441,5.78723145,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:00,3.87018919,5.432689,4.651439,48,48,49,798.189453,798.189453,2.71133375,0.660666764,0.009247137,99.77368,26.57409,2.09447479,5.7871666,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:01,3.125763,3.87018919,3.497976,48,48,48,798.1896,798.1896,2.486751,0.529212356,0.01205009,99.7737,26.5678482,2.0939827,5.78765869,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:02,0.7692337,3.8461566,2.30769515,48,48,49,798.1894,798.1894,2.37290549,0.419886231,0.008022156,99.773674,26.5744781,2.09450531,5.787136,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:03,3.125,5.46875,4.296875,48,48,48,798.189331,798.189331,2.67817283,0.6314714,0.009505562,99.77367,26.56437,2.093708,5.78793335,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:04,2.34375,5.46875,3.90625,48,48,48,798.1897,798.1897,2.49800754,0.484514326,0.00880492,99.77371,26.5641251,2.093689,5.78795242,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:05,3.90625,1.5625,2.734375,48,48,49,798.1895,798.1895,2.42867017,0.4459381,0.008070243,99.77369,26.5028915,2.08886337,5.792778,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:06,2.34375,3.125,2.734375,47,47,49,798.1894,798.1894,2.53657365,0.5239557,0.00870464649,99.773674,26.50769,2.089241,5.79240036,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:07,3.125,2.34375,2.734375,47,47,48,798.1897,798.1897,2.39139462,0.3985785,0.008254449,99.77371,26.5032349,2.08889,5.79275131,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:08,3.90625,2.35614777,3.131199,47,47,48,798.1896,798.1896,2.53850341,0.5549648,0.0081789745,99.7737,26.50145,2.088749,5.79289246,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:09,0.78125,3.90625,2.34375,48,48,49,798.189453,798.189453,2.44628668,0.4554822,0.008125172,99.77368,26.4945755,2.08820724,5.793434,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:10,3.125,0.78125,1.953125,48,48,48,798.1895,798.1895,2.40203428,0.487282783,0.008636897,99.77369,26.4943771,2.088192,5.7934494,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:11,3.90625,1.5504837,2.72836685,47,47,48,798.1896,798.1896,2.40877175,0.4080437,0.008062719,99.7737,26.48954,2.08781052,5.793831,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:12,3.125,2.34375,2.734375,47,47,48,798.189453,798.189453,2.50801635,0.513536036,0.008590979,99.77368,26.48867,2.08774185,5.79389954,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:13,4.6875,0.78125,2.734375,47,47,48,798.1896,798.1896,2.37472486,0.40802753,0.00811942,99.7737,26.4917221,2.08798218,5.793659,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:14,7.05605125,3.14980149,5.10292053,47,47,48,798.1894,798.1894,2.7564857,0.647327662,0.009181735,99.773674,26.4871674,2.0876236,5.794018,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:15,1.52680874,3.8461566,2.68648267,47,47,48,798.1895,798.1895,2.51555228,0.44090113,0.007947819,99.77369,26.4857178,2.08750916,5.794132,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:16,2.30768919,4.615384,3.46153975,46,44,48,798.189331,798.189331,2.53524256,0.5187376,0.008053158,99.77367,26.4891586,2.08778,5.79386139,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:17,4.66346169,0.7692337,2.71634459,48,48,49,798.1897,798.1897,2.44016671,0.43973273,0.007897952,99.77371,26.4877014,2.08766556,5.793976,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:18,3.8942337,4.663825,4.27902937,46,42,50,798.1893,798.1893,2.71893287,0.6696087,0.009277656,99.77366,26.4700851,2.086277,5.79536438,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:19,6.25,3.125,4.6875,47,42,50,1396.83252,1396.83252,2.599734,0.5882427,0.008377526,99.77376,26.4801025,2.08706665,5.79457474,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:20,3.8461566,3.89499664,3.87057066,48,48,49,798.189148,798.189148,2.37161636,0.4165762,0.00778254,99.77364,26.476181,2.08675766,5.79488373,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:21,4.615384,5.33869267,4.97703552,48,48,49,798.189453,798.189453,2.57100058,0.5715338,0.009886153,99.77368,26.47889,2.08697128,5.79467,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:22,4.6875,1.5625,3.125,47,47,48,798.189636,798.189636,2.40419769,0.43694672,0.008062816,99.7737045,26.47522,2.08668137,5.79496,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:23,3.90625,4.6875,4.296875,47,47,48,798.189453,798.189453,2.634438,0.607605159,0.009121742,99.77368,26.47802,2.08690262,5.794739,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:24,2.34375,3.125,2.734375,48,48,48,798.189453,798.189453,2.47037888,0.50250113,0.008391803,99.77368,26.4789429,2.086975,5.79466629,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:25,1.53846145,3.076923,2.30768919,47,47,48,798.1895,798.1895,2.384977,0.411755323,0.007904526,99.77369,26.4766617,2.08679581,5.79484558,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:26,2.35614777,6.25,4.303074,47,47,48,798.1896,798.1896,2.629276,0.5804434,0.009521719,99.7737,26.4779282,2.086895,5.7947464,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:27,3.87018919,2.34375,3.10696959,47,47,48,798.1894,798.1894,2.48957849,0.480335057,0.008078494,99.773674,26.47763,2.086872,5.79476929,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:28,0.78125,3.125,1.953125,48,48,48,798.1897,798.1897,2.360922,0.421945661,0.008022824,99.77371,26.4761276,2.08675385,5.79488754,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:29,2.34375,3.8942337,3.11899185,47,47,48,798.189453,798.189453,2.5243175,0.520189941,0.008392622,99.77368,26.4747314,2.08664322,5.794998,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:30,2.30768919,2.31971145,2.31369734,47,47,48,798.1895,798.1895,2.27554631,0.367204547,0.008050604,99.77369,26.4779282,2.086895,5.7947464,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:31,3.81119251,4.615384,4.21328545,47,47,48,798.189453,798.189453,2.640258,0.60811913,0.009584649,99.77368,26.4777832,2.08688354,5.794758,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:32,2.35614777,2.34375,2.349949,48,48,48,798.1896,798.1896,2.27756834,0.381015956,0.0076731,99.7737,26.4772034,2.08683777,5.79480362,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:33,4.66346169,1.5625,3.1129837,47,47,48,798.1896,798.1896,2.51459169,0.4950356,0.009513678,99.7737,26.47638,2.086773,5.79486847,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:34,4.74950075,0.78125,2.76537538,47,47,48,798.1894,798.1894,2.48145843,0.439575583,0.008803718,99.773674,26.4741974,2.08660126,5.79504,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:35,4.6754837,0.78125,2.72836685,48,48,48,798.189331,798.189331,2.52617836,0.532305658,0.008941954,99.77367,26.47628,2.08676529,5.794876,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:36,3.90625,3.90625,3.90625,47,47,48,798.189636,798.189636,2.46783733,0.427632958,0.008741837,99.7737045,26.4752655,2.08668518,5.794956,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:37,4.6875,3.125,3.90625,48,48,49,798.189453,798.189453,2.46929979,0.474413455,0.008850428,99.77368,26.4754028,2.08669662,5.794945,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:38,0.78125,3.125,1.953125,48,48,48,798.1895,798.1895,2.41980529,0.4239801,0.008651098,99.77369,26.4733734,2.08653641,5.795105,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:39,3.91864777,2.34375,3.131199,47,47,48,798.1896,798.1896,2.44666767,0.487711668,0.00880406,99.7737,26.474968,2.08666229,5.794979,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:40,3.08893919,0.78125,1.93509459,48,48,48,798.1895,798.1895,2.450129,0.439590245,0.00852782652,99.77369,26.4741516,2.08659744,5.795044,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:41,2.35614777,4.66346169,3.50980759,48,48,49,798.189453,798.189453,2.49847722,0.5134027,0.009220812,99.77368,26.4742966,2.086609,5.7950325,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:42,3.8461566,0.7692337,2.30769515,48,48,48,798.1895,798.1895,2.39556122,0.405395478,0.008644695,99.77369,26.469162,2.08620453,5.795437,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:43,3.88221145,5.432689,4.65745354,48,48,48,798.1894,798.1894,2.59660077,0.5693554,0.0102695171,99.773674,26.4739532,2.08658218,5.795059,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.521492
02/01/2021 21:44:44,1.5625,3.13739777,2.349949,47,47,49,798.189636,798.189636,2.53514576,0.538746238,0.008825626,99.7737045,26.473465,2.086544,5.79509735,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,21,7.52153
02/01/2021 21:44:45,2.3317337,2.34375,2.33774185,48,48,48,798.1895,798.1895,2.279645,0.37921688,0.00854974,99.77369,26.47187,2.08641815,5.795223,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,21,7.52153
02/01/2021 21:44:46,3.90625,3.91864777,3.912449,47,47,48,798.1894,798.1894,2.427888,0.468281746,0.008706875,99.773674,26.4735184,2.08654785,5.79509354,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,21,7.52153
