,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space","Used Space"
02/02/2021 20:04:24,3.90625,3.90625,3.90625,46,46,47,2494.34253,2693.89,3.273686,1.17720544,0.0213632286,99.7737,28.7526169,2.26617813,5.61546326,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:25,4.6875,5.46875,5.078125,46,46,47,2693.8894,2494.342,3.59878969,1.46719646,0.0239726026,99.77368,28.7620544,2.266922,5.61471939,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:26,9.375,7.8125,8.59375,47,47,47,2494.3418,2494.3418,4.43552828,2.133272,0.0339067541,99.773674,28.7589569,2.26667786,5.61496353,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:27,3.90625,3.125,3.515625,46,46,47,2494.34277,2494.34277,3.43968225,1.36702275,0.005508497,99.77371,28.7699432,2.26754379,5.6140976,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:28,35.9375,11.71875,23.828125,50,44,51,2494.342,2494.342,8.824861,5.91470051,0.00422688946,99.77369,30.9255753,2.43744278,5.44419861,38,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:29,40.625,21.875,31.25,49,45,51,2494.34229,2494.34229,9.928759,6.65189362,0.0055391374,99.77369,37.3311424,2.94230652,4.939335,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:30,40.625,40.625,40.625,51,45,52,2494.34131,2494.34131,9.9313,6.99653,0.00303659565,99.77365,38.6355629,3.04511642,4.836525,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:31,42.96875,46.875,44.921875,51,47,52,2494.34229,2494.34229,10.3105154,7.33978748,0.004379421,99.7737,40.4882545,3.19113922,4.690502,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:32,50.78125,42.1875,46.484375,52,51,53,2494.34277,2494.34277,10.2770681,7.3322897,0.00311288983,99.77371,41.92626,3.30447769,4.5771637,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:33,49.21875,48.4375,48.828125,53,47,53,2494.342,2494.342,10.4178944,7.452737,0.00370801147,99.773674,43.8560143,3.45657349,4.425068,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:34,80.46875,82.03125,81.25,53,51,54,2494.34155,2494.34155,12.4716129,9.00451851,0.00305187213,99.77366,50.00196,3.94097519,3.9406662,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:35,100,100,100,53,52,54,2494.343,2494.343,13.4041948,10.062439,0.00457778946,99.77372,52.33904,4.12517548,3.756466,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:36,98.4375,99.21875,98.828125,54,52,55,2494.34253,2494.34253,13.2954321,10.2795591,0.003234965,99.7737045,52.3143578,4.12323,3.75841141,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:37,93.75,97.65625,95.703125,53,51,54,2494.34155,2494.34155,12.9697695,9.971099,0.00477616861,99.77366,44.76278,3.52804184,4.35359955,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:38,22.65625,39.84375,31.25,49,50,53,2494.34277,2494.34277,9.62202549,6.36258364,0.0171666835,99.77371,44.7161751,3.52436829,4.357273,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:39,26.5625,28.90625,27.734375,49,50,53,2494.341,2494.341,9.520271,6.29145145,0.0140842572,99.77364,47.6202545,3.75325775,4.12838364,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:40,39.0625,41.40625,40.234375,53,53,56,2494.343,2494.343,10.2085066,7.022466,0.00558493938,99.77372,49.4440079,3.89699936,3.984642,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:41,100,100,100,55,53,56,2494.34229,2494.34229,13.4654188,10.1832657,0.00766017,99.77369,52.0019836,4.09861,3.78303146,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:42,39.84375,42.1875,41.015625,53,48,55,2494.34229,2494.34229,9.731907,6.80835867,0.00384534919,99.7737,51.413105,4.0521965,3.829445,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:43,15.625,39.0625,27.34375,53,49,55,2494.34229,2494.34229,9.11696,6.21470165,0.005630682,99.77369,51.254303,4.03968048,3.841961,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:44,17.96875,35.15625,26.5625,50,51,53,2494.3418,2494.3418,9.033175,6.15604734,0.00357066025,99.773674,51.33944,4.04639053,3.83525085,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:45,21.09375,32.8125,26.953125,50,51,53,2494.34277,2494.34277,9.167334,6.260446,0.00502032042,99.7737045,51.3248749,4.04524231,3.836399,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:46,22.65625,29.6875,26.171875,55,49,55,2494.342,2494.342,9.056367,6.18180847,0.00361644919,99.77368,51.75781,4.079365,3.80227661,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:47,24.21875,29.6875,26.953125,50,52,53,2494.34082,2494.34082,9.43916,6.50789452,0.01377915,99.7736359,51.52675,4.06115341,3.820488,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:48,20.3125,33.59375,26.953125,49,52,53,2494.34375,2494.34375,9.552507,6.639038,0.0204626955,99.77375,51.3985825,4.051052,3.83058929,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:49,20.3125,33.59375,26.953125,51,51,53,2494.34229,2494.34229,9.679147,6.73160839,0.0216224715,99.77369,51.40008,4.05117035,3.830471,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.96714,0.161125183
02/02/2021 20:04:50,24.21875,30.46875,27.34375,50,51,55,2494.342,2494.342,9.501994,6.58694363,0.0204168726,99.77368,51.39694,4.05092239,3.830719,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:04:51,20.3125,35.9375,28.125,49,52,54,2494.34229,2494.34229,9.656235,6.71431446,0.0223091263,99.7737,51.3920021,4.05053329,3.831108,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:04:52,23.4375,32.03125,27.734375,50,51,54,2494.342,2494.342,9.511034,6.59585047,0.0205848049,99.77368,51.38808,4.0502243,3.831417,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:04:53,23.4375,30.46875,26.953125,53,50,55,2494.34253,2494.34253,9.627866,6.674364,0.0218055639,99.7737,51.3869667,4.05013657,3.83150482,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:04:54,20.3125,32.8125,26.5625,54,50,55,2494.342,2494.342,9.508231,6.59451532,0.0202795956,99.77368,51.385807,4.050045,3.83159637,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:04:55,19.53125,36.71875,28.125,53,50,55,2494.341,2494.341,9.565152,6.629966,0.0211188644,99.77364,51.3795624,4.049553,3.83208847,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:04:56,17.96875,35.9375,26.953125,49,52,54,2494.34351,2494.34351,9.449593,6.5255,0.0200812314,99.773735,51.377533,4.0493927,3.83224869,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:04:57,15.625,39.0625,27.34375,50,53,54,2494.34229,2494.34229,9.489746,6.56762,0.015747603,99.77369,51.4677963,4.056507,3.82513428,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:04:58,23.4375,29.6875,26.5625,50,52,55,2494.3418,2494.3418,9.393712,6.5045023,0.0117649147,99.773674,51.4521141,4.055271,3.82637024,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:04:59,23.4375,32.03125,27.734375,54,50,55,2494.34253,2494.34253,9.613477,6.66511154,0.022049645,99.7737045,51.3804359,4.04962158,3.83201981,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:00,14.84375,39.0625,26.953125,50,53,54,2494.34229,2494.34229,9.449598,6.54915571,0.0139927808,99.77369,51.46455,4.05625153,3.82538986,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:01,14.84375,41.40625,28.125,49,52,54,2494.3418,2494.3418,9.644713,6.697498,0.0173498448,99.773674,51.46455,4.05625153,3.82538986,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:02,25.78125,28.125,26.953125,50,53,54,2494.342,2494.342,9.470164,6.564912,0.0201728251,99.77368,51.43319,4.0537796,3.82786179,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
02/02/2021 20:05:03,24.21875,32.03125,28.125,49,53,54,2494.34253,2494.34253,9.61732,6.67311049,0.0222174544,99.7737045,51.4012451,4.051262,3.83037949,43,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.96715546,0.161125183
