,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
02/01/2021 23:52:35,7.8125,9.375,8.59375,48,46,48,798.189636,798.189636,3.04270983,0.81475544,0.0206454545,99.7737045,28.5920334,2.253521,5.62812042,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.54550171
02/01/2021 23:52:36,18.75,14.84375,16.796875,49,49,49,2494.343,798.189758,3.954394,1.33485556,0.150884256,99.77372,28.5938644,2.253666,5.62797546,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.54550171
02/01/2021 23:52:37,21.09375,14.0625,17.578125,48,48,49,798.189,798.189,3.837058,1.39627051,0.0121010114,99.77363,28.5947876,2.2537384,5.627903,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.54550171
02/01/2021 23:52:38,11.71875,7.03125,9.375,46,42,49,798.1897,798.1897,3.13452268,0.9442448,0.00480652042,99.77371,28.597496,2.253952,5.62768936,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.54550171
02/01/2021 23:52:39,11.71875,6.25,8.984375,48,48,49,798.1894,798.1894,2.97613144,0.788609564,0.00488303136,99.773674,28.6083374,2.25480652,5.626835,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.54550171
02/01/2021 23:52:40,39.84375,16.40625,28.125,52,45,54,2494.34326,2494.34326,9.082725,6.094454,0.00405907258,99.773735,30.8908234,2.43470383,5.44693756,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.54550171
02/01/2021 23:52:41,37.5,30.46875,33.984375,53,47,54,2494.34229,2494.34229,9.769492,6.52771,0.004226813,99.7737,37.09127,2.92340088,4.95824051,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.54550171
02/01/2021 23:52:42,43.75,44.53125,44.140625,55,48,55,2494.34229,2494.34229,10.0166922,7.05158138,0.004257344,99.77369,38.40203,3.02671051,4.854931,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.54550171
02/01/2021 23:52:43,42.96875,41.40625,42.1875,54,48,55,2494.3418,2494.3418,10.2168884,7.246979,0.003082386,99.77367,40.31755,3.17768478,4.7039566,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.54550171
