,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
02/02/2021 00:21:51,7.8125,10.9375,9.375,48,47,49,798.189636,798.189636,3.19024754,0.859175146,0.0273599327,99.7737045,28.4111557,2.23926544,5.642376,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:21:52,4.6875,6.25,5.46875,46,42,49,798.1894,798.1894,2.88954258,0.7704898,0.008560319,99.773674,28.4203033,2.23998642,5.641655,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:21:53,13.28125,14.84375,14.0625,47,41,50,798.1896,798.1896,4.436549,1.92223561,0.0551625527,99.7737,28.4652176,2.24352646,5.638115,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:21:54,16.40625,7.03125,11.71875,48,44,49,798.1892,798.1892,3.25111818,0.9741651,0.007721175,99.77365,28.46328,2.24337387,5.63826752,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:21:55,3.125,5.46875,4.296875,45,40,48,798.189636,798.189636,2.77856922,0.6642992,0.004638833,99.7737045,28.4059753,2.23885727,5.642784,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:21:56,6.25,16.40625,11.328125,47,51,51,2494.344,2494.344,4.712722,2.34272623,0.0148173356,99.77376,29.1075287,2.29415131,5.58749,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:21:57,12.5,42.96875,27.734375,49,50,52,2494.342,2494.342,9.343379,6.25873566,0.003067095,99.77368,32.3677826,2.55111313,5.33052826,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:21:58,28.125,43.75,35.9375,49,50,53,2494.34229,2494.34229,9.948129,6.79223776,0.007751745,99.77369,37.4431343,2.95113373,4.93050766,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:21:59,46.875,34.375,40.625,55,52,55,2494.342,2494.342,10.0993652,7.13839245,0.00279246387,99.77368,38.9943,3.073391,4.80825043,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:00,49.21875,53.90625,51.5625,57,47,57,2494.34229,2494.34229,10.4914751,7.49245,0.00454726024,99.77369,40.9423447,3.22692871,4.65471268,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:01,42.1875,46.875,44.53125,57,55,57,2494.34229,2494.34229,10.1759806,7.21668,0.00556965033,99.77369,42.52976,3.35204315,4.529598,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:02,62.5,64.0625,63.28125,57,55,58,2494.34229,2494.34229,11.40433,8.194773,0.004486223,99.7737,46.595295,3.672474,4.20916748,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:03,77.34375,90.625,83.984375,57,56,58,2494.342,2494.342,12.58003,9.079038,0.00325023569,99.77368,50.48552,3.97908783,3.90255356,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:04,100,100,100,57,54,59,2494.342,2494.342,13.2023926,9.993098,0.005218687,99.77368,51.7727165,4.0805397,3.80110168,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:05,100,100,100,58,55,59,2494.3418,2494.3418,13.1597376,10.1904535,0.00326548144,99.773674,50.35765,3.9690094,3.912632,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
02/02/2021 00:22:06,81.25,94.53125,87.890625,56,53,58,2494.34277,2494.34277,12.644351,9.424023,0.009476041,99.77371,41.59932,3.27870941,4.602932,42,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,19,7.545967
