,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Package","CPU Core #1","CPU Core #2","CPU Package","CPU Cores","CPU Graphics","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Used Space"
02/01/2021 23:13:40,12.5,3.125,7.8125,47,43,50,798.189758,798.189758,2.95519066,0.734635651,0.0216989368,99.77372,26.88153,2.11870575,5.76293564,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51844025
02/01/2021 23:13:41,10.15625,9.375,9.765625,45,42,49,798.1894,798.1894,3.258807,0.9472147,0.0253001582,99.773674,26.9040833,2.1204834,5.761158,39,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51844025
02/01/2021 23:13:42,21.09375,19.53125,20.3125,49,42,49,798.189636,798.189636,4.235137,1.68427372,0.0360722877,99.7737045,26.8955154,2.1198082,5.761833,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51844025
02/01/2021 23:13:43,12.5,7.03125,9.765625,48,48,49,798.1893,798.1893,3.10667729,0.8756585,0.004715225,99.77366,26.9019089,2.12031174,5.76132965,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51844025
02/01/2021 23:13:44,14.84375,27.34375,21.09375,52,47,55,2494.344,2494.344,7.15864,4.38977432,0.00506615127,99.77376,28.3711243,2.23611069,5.6455307,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51844025
02/01/2021 23:13:45,28.90625,34.375,31.640625,49,51,53,2494.342,2693.8894,9.626725,6.41839647,0.00381482462,99.77368,34.0505066,2.68373871,5.19790268,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51844025
02/01/2021 23:13:46,39.0625,42.1875,40.625,50,52,54,2494.34277,2494.34277,9.959267,6.9369,0.004348905,99.7737045,36.4543762,2.87320328,5.008438,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51844025
02/01/2021 23:13:47,41.40625,37.5,39.453125,50,51,54,2494.342,2494.342,9.899563,6.91269064,0.005371249,99.77368,38.09145,3.0022316,4.87941,40,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51844025
02/01/2021 23:13:48,45.3125,56.25,50.78125,50,52,54,2494.3418,2494.3418,10.4932022,7.525696,0.00309765339,99.773674,39.7848167,3.13569641,4.745945,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.51844025
02/01/2021 23:13:49,50.78125,51.5625,51.171875,54,50,57,2494.34253,2494.34253,10.3141136,7.32544136,0.00491349539,99.7737,41.4426537,3.26636124,4.61528,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
02/01/2021 23:13:50,75,78.90625,76.953125,55,53,57,2494.3418,2494.3418,12.156251,8.743559,0.00309762,99.773674,47.14826,3.71605682,4.16558456,41,135,405.000031,270,0,0,0,0,1024,37.0625,986.9375,3.61938477,20,7.518471
